GEO Dataset,Control SRR list 1,Control SRR list 2,H3K4me3 GEO,H3K4me3 SRR list,H3K27ac GEO,H3K27ac SRR list,H3K4me1 GEO,H3K4me1 SRR list,H3K27me3 GEO,H3K27me3 SRR list,H3K9me3 GEO,H3K9me3 SRR list,H3K36me3 GEO,H3K36me3 SRR list,Age,Age notes,Sex,"Cell line, primary cell, organoid, or tissue",Cell type class,Cell type,Cancer state,Disease (if any),Treatment (if any),Platform,SE or PE,biological replicate,technical replicate,biological or technical replicate,Study,Notes
GSE97033,SRR5376530,,GSM2550264,SRR5376534,GSM2550261,SRR5376531,GSM2550263,SRR5376533,GSM2550262,SRR5376532,,,,,,,,cell line,Pluripotent stem cell,iPS cells (from Fibroblasts),,,,Illumina HiSeq 2500,SE,,,2,iPSC cell lines comparison study,
GSE100099,SRR5690026,,,,GSM2671297,SRR5690022,,,,,,,,,,,,cell line,Breast,MCF-7,,,control,Illumina NextSeq 500,SE,,,,radiation study,
GSE100099,SRR5690027,,,,GSM2671298,SRR5690023,,,,,,,,,,,,cell line,Breast,MCF-7,,,2.5h radiation,Illumina NextSeq 500,SE,,,,radiation study,
GSE100099,SRR5690028,,,,GSM2671299,SRR5690024,,,,,,,,,,,,cell line,Breast,MCF-7,,,5h radiation,Illumina NextSeq 500,SE,,,,radiation study,
GSE100099,SRR5690029,,,,GSM2671300,SRR5690025,,,,,,,,,,,,cell line,Breast,MCF-7,,,7.5h radiation,Illumina NextSeq 500,SE,,,,radiation study,
GSE101708,SRR5855054,,,,GSM2712746,SRR5855055,GSM2712764,SRR5855073,,,,,,,,,,cell line,Digestive tract,HCT 116,,,control,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712747,SRR5855056,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_4.68nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712748,SRR5855057,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_9.37nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712749,SRR5855058,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_18.75nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712750,SRR5855059,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_30nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712751,SRR5855060,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_37.5nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712752,SRR5855061,GSM2712765,SRR5855074,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_75nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712753,SRR5855062,,,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_150nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR5855054,,,,GSM2712754,SRR5855063,GSM2712766,SRR5855075,,,,,,,,,,cell line,Digestive tract,HCT 116,,,largazole_300nM,Illumina HiSeq 2000,SE,,,,HDAC inhibition study,
GSE101708,SRR6323952,,,,GSM2865066,SRR6323953,GSM2865070,SRR6323957,,,,,,,,,,cell line,Unclassified,Unclassified,,,control,Illumina HiSeq 2500,SE,,,,HDAC inhibition study,
GSE101708,SRR6323952,,,,GSM2865067,SRR6323954,GSM2865071,SRR6323958,,,,,,,,,,cell line,Unclassified,Unclassified,,,largazole_37.5nM,Illumina HiSeq 2500,SE,,,,HDAC inhibition study,
GSE101708,SRR6323952,,,,GSM2865068,SRR6323955,GSM2865072,SRR6323959,,,,,,,,,,cell line,Unclassified,Unclassified,,,largazole_75nM,Illumina HiSeq 2500,SE,,,,HDAC inhibition study,
GSE101708,SRR6323952,,,,GSM2865069,SRR6323956,GSM2865073,SRR6323960,,,,,,,,,,cell line,Unclassified,Unclassified,,,largazole_300nM,Illumina HiSeq 2500,SE,,,,HDAC inhibition study,
GSE102436,SRR5922495,,GSM2736544,SRR5922494; SRR5922493,GSM2736541,SRR5922487; SRR5922488,,,GSM2736542,SRR5922489; SRR5922490,,,,,,,,cell line,Breast,MCF 10A,,,control,Illumina HiSeq 1500,SE,,,,17-b-estradiol study,
GSE102436,SRR5922504,,GSM2736549,SRR5922502; SRR5922503,GSM2736546,"SRR5922496	; SRR5922497",,,GSM2736547,SRR5922498; SRR5922499,,,,,,,,cell line,Breast,MCF 10A,,,E2,Illumina HiSeq 1500,SE,,,,17-b-estradiol study,
GSE102796,SRR5944081,,,,GSM2746537,SRR5944057; SRR5944058,GSM2746535,SRR5944053; SRR5944054,,,,,,,,,,cell line,Digestive tract,SW 480,,,control,Illumina HiSeq 4000,SE,,,,TNF study,
GSE102796,SRR5944082,,,,GSM2746538,SRR5944059; SRR5944060,GSM2746536,SRR5944055; SRR5944056,,,,,,,,,,cell line,Digestive tract,SW 480,,,TNF,Illumina HiSeq 4000,SE,,,,TNF study,
GSE102813,SRR5944715,,GSM2746699,SRR5944717,GSM2746701,SRR5944719,GSM2746698,SRR5944716,,,,,,,,,,cell line,Epidermis,L-C-B,,,SIRT6 +/+,Illumina NextSeq 500,SE,,,,SIRT6 study,
GSE102813,SRR5944715,,GSM2746705,SRR5944723,GSM2746707,SRR5944725,GSM2746704,SRR5944722,,,,,,,,,,cell line,Epidermis,SK-MEL-239,,,SIRT6 +/-,Illumina NextSeq 500,SE,,,,SIRT6 study,
GSE102813,SRR5944715,,GSM3083213,SRR6950065,GSM3083215,SRR6950067,GSM3083212,SRR6950064,,,,,,,,,,cell line,Epidermis,SK-MEL-239,,,SIRT6 -/-,Illumina NextSeq 500,SE,,,,SIRT6 study,
GSE103331,SRR5992976,,GSM2766555,SRR5992974,,,,,GSM2766556,SRR5992975,,,,,,,,cell line,Lung,HBEC3-KT,,,control,Illumina HiSeq 2500,SE,,,,cigarette smoke study,
GSE103331,SRR5992981,,GSM2766560,SRR5992979,,,,,GSM2766561,SRR5992980,,,,,,,,cell line,Lung,HBEC3-KT,,,CSC 10 days,Illumina HiSeq 2500,SE,,,,cigarette smoke study,
GSE103331,SRR5992986,,GSM2766565,SRR5992984,,,,,GSM2766566,SRR5992985,,,,,,,,cell line,Lung,HBEC3-KT,,,control,Illumina HiSeq 2500,SE,,,,cigarette smoke study,
GSE103331,SRR5992991,,GSM2766570,SRR5992989,,,,,GSM2766571,SRR5992990,,,,,,,,cell line,Lung,HBEC3-KT,,,CSC 10 months,Illumina HiSeq 2500,SE,,,,cigarette smoke study,
GSE103589,SRR6013873; SRR6013874,,,,GSM2774992,SRR6013830; SRR6013831,,,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,1,senescence study,
GSE103589,SRR6013876; SRR6013877,,,,GSM2774993,SRR6013832; SRR6013833,,,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,2,senescence study,
GSE103589,SRR6013879; SRR6013881,,,,GSM2774994,SRR6013834; SRR6013835,,,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,3,senescence study,
GSE103589,SRR6013882; SRR6013884,,,,GSM2774995,SRR6013836; SRR6013837,,,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,4,senescence study,
GSE103589,SRR6013885; SRR6013887,,,,GSM2774996,SRR6013838; SRR6013839,,,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,1,senescence study,
GSE103589,SRR6013888; SRR6013889,,,,GSM2774997,SRR6013840; SRR6013841,,,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,2,senescence study,
GSE103589,SRR6013890; SRR6013891,,,,GSM2774998,SRR6013842; SRR6013843,,,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,3,senescence study,
GSE103589,SRR6013892; SRR6013893,,,,GSM2774999,SRR6013844; SRR6013845,,,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,4,senescence study,
GSE103589,SRR6013894; SRR6013895; SRR6013896,,,,,,GSM2775000,SRR6013846; SRR6013847; SRR6013848,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,1,senescence study,
GSE103589,SRR6013897; SRR6013898; SRR6013899,,,,,,GSM2775001,SRR6013849; SRR6013850; SRR6013851,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,2,senescence study,
GSE103589,SRR6013900; SRR6013901; SRR6013902,,,,,,GSM2775002,SRR6013852; SRR6013853; SRR6013854,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,3,senescence study,
GSE103589,SRR6013903; SRR6013904; SRR6013905,,,,,,GSM2775003,SRR6013855; SRR6013856; SRR6013857,,,,,,,,,,cell line,Lung,IMR-90,,,growing,Illumina HiSeq 2500,SE,,,4,senescence study,
GSE103589,SRR6013906; SRR6013907; SRR6013908,,,,,,GSM2775004,SRR6013858; SRR6013859; SRR6013860,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,1,senescence study,
GSE103589,SRR6013909; SRR6013910; SRR6013911,,,,,,GSM2775005,SRR6013861; SRR6013862; SRR6013863,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,2,senescence study,
GSE103589,SRR6013912; SRR6013913; SRR6013914,,,,,,GSM2775006,SRR6013864; SRR6013865; SRR6013866,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,3,senescence study,
GSE103589,SRR6013915; SRR6013916; SRR6013917,,,,,,GSM2775007,SRR6013867; SRR6013868; SRR6013869,,,,,,,,,,cell line,Lung,IMR-90,,,OIS,Illumina HiSeq 2500,SE,,,4,senescence study,
GSE103734,SRR10336308,,GSM4136373,SRR10336302,,,,,GSM4136367,SRR10336296,,,,,,,,cell line,Blood,K-562,,,,Illumina HiSeq 2500,PE,,,1,cell number study,1000 cells
GSE103734,SRR10336309,,GSM4136374,SRR10336303,,,,,GSM4136368,SRR10336297,,,,,,,,cell line,Blood,K-562,,,,Illumina HiSeq 2500,PE,,,2,cell number study,1000 cells
GSE103734,SRR10336310,,GSM4136375,SRR10336304,,,,,GSM4136369,SRR10336298,,,,,,,,cell line,Blood,K-562,,,,Illumina HiSeq 2500,PE,,,3,cell number study,1000 cells
GSE103734,SRR10336311,,GSM4136376,SRR10336305,,,,,GSM4136370,SRR10336299,,,,,,,,cell line,Blood,K-562,,,,Illumina HiSeq 2500,PE,,,1,cell number study,100 cells
GSE103734,SRR10336312,,GSM4136377,SRR10336306,,,,,GSM4136371,SRR10336300,,,,,,,,cell line,Blood,K-562,,,,Illumina HiSeq 2500,PE,,,2,cell number study,100 cells
GSE103734,SRR10336313,,GSM4136378,SRR10336307,,,,,GSM4136372,SRR10336301,,,,,,,,cell line,Blood,K-562,,,,Illumina HiSeq 2500,PE,,,3,cell number study,100 cells
GSE104404,SRR6116860,,GSM2797209,SRR6116825,GSM2797235,SRR6116851,,,,,,,,,22,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y8
GSE104404,SRR6116865,,GSM2797210,SRR6116826,,,GSM2797201,SRR6116817,,,,,,,28,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y17
GSE104404,SRR6116866,,GSM2797211,SRR6116827,,,GSM2797202,SRR6116818,,,,,,,29,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y18
GSE104404,SRR6116871,,GSM2797213,SRR6116829,,,,,,,,,,,19,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y27
GSE104404,SRR6116875,,GSM2797214,SRR6116830,,,,,,,,,,,66,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o6
GSE104404,SRR6116876,,GSM2797215,SRR6116831,,,GSM2797204,SRR6116820,,,,,,,66,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o7 
GSE104404,SRR6116877,,GSM2797216,SRR6116832,,,,,,,,,,,66,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o8
GSE104404,SRR6116880,,GSM2797217,SRR6116833,,,,,,,,,,,68,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o12
GSE104404,SRR6116886,,GSM2797219,SRR6116835,,,,,,,,,,,73,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o24
GSE104404,SRR6116889,,GSM2797220,SRR6116836,,,GSM2797207,SRR6116823,,,,,,,75,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o29
GSE104404,SRR6116874,,GSM2797221,SRR6116837,,,,,,,,,,,66,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o5
GSE104404,SRR6116859,,,,GSM2797234,SRR6116850,GSM2797198,SRR6116814,,,,,,,18,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y2
GSE104404,SRR6116861,,,,GSM2797236,SRR6116852,GSM2797199,SRR6116815,,,,,,,23,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y10
GSE104404,SRR6116862,,,,GSM2797237,SRR6116853,,,,,,,,,23,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y11
GSE104404,SRR6116873,,,,GSM2797238,SRR6116854,,,,,,,,,65,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o3
GSE104404,SRR6116878,,,,GSM2797239,SRR6116855,,,,,,,,,66,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o9
GSE104404,SRR6116881,,,,GSM2797240,SRR6116856,,,,,,,,,68,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o13
GSE104404,SRR6116885,,,,GSM2797241,SRR6116857,,,,,,,,,71,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o22
GSE104404,SRR6116887,,,,GSM2797242,SRR6116858,,,,,,,,,74,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o26
GSE104404,SRR6116864,,,,,,GSM2797200,SRR6116816,,,,,,,26,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor y14
GSE104404,SRR6116872,,,,,,GSM2797203,SRR6116819,,,,,,,65,,F,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o2
GSE104404,SRR6116879,,,,,,GSM2797205,SRR6116821,,,,,,,67,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o10
GSE104404,SRR6116888,,,,,,GSM2797206,SRR6116822,,,,,,,74,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o27
GSE104404,SRR6116890,,,,,,GSM2797208,SRR6116824,,,,,,,75,,M,tissue,Blood,CD34 Hematopoietic stem cells,,,,Illumina HiSeq 2500,SE,,,,,donor o31
GSE106146,SRR6216244,,,,GSM2830427,SRR6216272,GSM2830415,SRR6216260,,,,,,,,,,cell line,Lung,IMR-90,,,proliferating,Illumina NextSeq 500,SE,,,1,senescence study,
GSE106146,SRR6216245,,,,GSM2830428,SRR6216273,GSM2830416,SRR6216261,,,,,,,,,,cell line,Lung,IMR-90,,,proliferating,Illumina NextSeq 500,SE,,,2,senescence study,
GSE106146,SRR6216248,,,,GSM2830429,SRR6216274,GSM2830417,SRR6216262,,,,,,,,,,cell line,Lung,IMR-90,,,replicative senescence,Illumina NextSeq 500,SE,,,1,senescence study,
GSE106146,SRR6216249,,,,GSM2830430,SRR6216275,GSM2830418,SRR6216263,,,,,,,,,,cell line,Lung,IMR-90,,,replicative senescence,Illumina NextSeq 500,SE,,,2,senescence study,
GSE106146,SRR6216286,,,,GSM2830447,SRR6216292,GSM2830445,SRR6216290,,,,,,,,,,cell line,Lung,IMR-90,,,irradiation senescence,Illumina NextSeq 500,SE,,,1,senescence study,
GSE106146,SRR6216287,,,,GSM2830448,SRR6216293,GSM2830446,SRR6216291,,,,,,,,,,cell line,Lung,IMR-90,,,irradiation senescence,Illumina NextSeq 500,SE,,,2,senescence study,
GSE107196,SRR6311279,,,,GSM2862457,SRR6311275,GSM2862453,SRR6311271,,,,,,,54,,F,tissue,Cardiovascular,Circle of Willis,,,,Illumina HiSeq 2000,SE,,,,,
GSE107196,SRR6311280,,,,GSM2862458,SRR6311276,GSM2862454,SRR6311272,,,,,,,60,,F,tissue,Cardiovascular,Circle of Willis,,,,Illumina HiSeq 2000,SE,,,,,
GSE107196,SRR6311279,SRR6311280,,,GSM2862459,SRR6311277,GSM2862455,SRR6311273,,,,,,,90,,F,tissue,Cardiovascular,Circle of Willis,,,,Illumina HiSeq 2000,SE,,,,,
GSE107196,SRR6311279,SRR6311280,,,GSM2862460,SRR6311278,GSM2862456,SRR6311274,,,,,,,67,,F,tissue,Cardiovascular,Circle of Willis,,,,Illumina HiSeq 2000,SE,,,,,
GSE107599,SRR6337837,,GSM2871902,SRR6337825,GSM2871898,SRR6337821,,,,,,,,,,,,cell line,Blood,HAP1,,,control,Illumina NextSeq 500,SE,,,1,starvation study,
GSE107599,SRR6337837,,GSM2871903,SRR6337826,GSM2871899,SRR6337822,,,,,,,,,,,,cell line,Blood,HAP1,,,control,Illumina NextSeq 500,SE,,,2,starvation study,
GSE107599,SRR6337837,,GSM2871904,SRR6337827,GSM2871900,SRR6337823,,,,,,,,,,,,cell line,Blood,HAP1,,,starved,Illumina NextSeq 500,SE,,,1,starvation study,
GSE107599,SRR6337837,,GSM2871905,SRR6337828,GSM2871901,SRR6337824,,,,,,,,,,,,cell line,Blood,HAP1,,,starved,Illumina NextSeq 500,SE,,,2,starvation study,
GSE108881,SRR6450212,,GSM2915363,SRR6450207,,,,,,,,,,,,,,cell line,Lung,Calu-3,,,MERS,Illumina Genome Analyzer,SE,,,,MERS and flu infection study,
GSE108881,SRR6450212,,GSM2915364,SRR6450208,,,,,,,,,,,,,,cell line,Lung,Calu-3,,,H5N1,Illumina Genome Analyzer,SE,,,,MERS and flu infection study,
GSE108881,SRR6450212,,GSM2915367,SRR6450211,,,,,GSM2915365,SRR6450209,,,,,,,,cell line,Lung,Calu-3,,,control,Illumina Genome Analyzer,SE,,,,MERS and flu infection study,
GSE108881,SRR6450214,,,,,,,,GSM2915366,SRR6450210,,,,,,,,cell line,Lung,Calu-3,,,MERS,Illumina Genome Analyzer,SE,,,,MERS and flu infection study,
GSE108881,SRR6450214,,,,,,,,GSM2915369,SRR6450213,,,,,,,,cell line,Lung,Calu-3,,,H5N1,Illumina Genome Analyzer,SE,,,,MERS and flu infection study,
GSE108881,SRR6450214,,,,,,,,,,,,,,,,,cell line,Lung,Calu-3,,,control,Illumina Genome Analyzer,SE,,,,MERS and flu infection study,
GSE110570,SRR6724278,,,,GSM3003381,SRR6724270,GSM3003377,SRR6724266,GSM3003385,SRR6724274,,,,,,,,cell line,Neural,SU-DIPG-XIII,,,control,Illumina HiSeq 2500,SE,,,1,HDAC inhibition study,
GSE110570,SRR6724279,,,,GSM3003382,SRR6724271,GSM3003378,SRR6724267,GSM3003386,SRR6724275,,,,,,,,cell line,Neural,SU-DIPG-XIII,,,control,Illumina HiSeq 2500,SE,,,2,HDAC inhibition study,
GSE110570,SRR6724280,,,,GSM3003383,SRR6724272,GSM3003379,SRR6724268,GSM3003387,SRR6724276,,,,,,,,cell line,Neural,SU-DIPG-XIII,,,CORIN,Illumina HiSeq 2500,SE,,,1,HDAC inhibition study,
GSE110570,SRR6724281,,,,GSM3003384,SRR6724273,GSM3003380,SRR6724269,GSM3003388,SRR6724277,,,,,,,,cell line,Neural,SU-DIPG-XIII,,,CORIN,Illumina HiSeq 2500,SE,,,2,HDAC inhibition study,
GSE111009,SRR6762361,,GSM3020118,SRR6762359,GSM3020119,SRR6762360,,,,,,,,,,,,cell line,Epidermis,Foreskin,,,control,Illumina NextSeq 500,SE,,,,p53 activation study,
GSE111009,SRR6762365,,GSM3020122,SRR6762363,GSM3020123,SRR6762364,,,,,,,,,,,,cell line,Epidermis,Foreskin,,,Nutlin3A,Illumina NextSeq 500,SE,,,,p53 activation study,
GSE111009,SRR6762369,,GSM3020127,SRR6762368,GSM3020125,SRR6762366,,,,,,,,,,,,cell line,Breast,Mammary glands,,,control,Illumina NextSeq 500,SE,,,,p53 activation study,
GSE111009,SRR6762374,,GSM3020131,SRR6762372,GSM3020132,SRR6762373,,,,,,,,,,,,cell line,Breast,Mammary glands,,,Nutlin3A,Illumina NextSeq 500,SE,,,,p53 activation study,
GSE111293,SRR6794490,,,,GSM3028039,SRR6794478,,,,,,,,,,,,cell line,Blood,U-937,,,control,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibition study,
GSE111293,SRR6794491,,,,GSM3028040,SRR6794479,,,,,,,,,,,,cell line,Blood,U-937,,,decitabine,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibition study,
GSE111293,SRR6794492,,,,GSM3028041,SRR6794480,,,,,,,,,,,,cell line,Blood,U-937,,,decitabine + entinostat,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibition study,
GSE111293,SRR6794493,,,,GSM3028042,SRR6794481,,,,,,,,,,,,cell line,Blood,U-937,,,decitabine + panobinostat,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibition study,
GSE111293,SRR6794494,,,,GSM3028043,SRR6794482,,,,,,,,,,,,cell line,Blood,U-937,,,entinostat,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibition study,
GSE111293,SRR6794495,,,,GSM3028044,SRR6794483,,,,,,,,,,,,cell line,Blood,U-937,,,panobinostat,Illumina HiSeq 2000,SE,,,,DNMT and HDAC inhibition study,
GSE111850,SRR6836016,,GSM3041057,SRR6836013,GSM3041058,SRR6836014,GSM3041056,SRR6836012,GSM3041059,SRR6836015,,,,,,adult,,tissue,Bone,Knee cartilage,,,,Illumina HiSeq 2500,SE,,,1,differentiation study,
GSE111850,SRR6836021,,GSM3041062,SRR6836018,GSM3041063,SRR6836019,GSM3041061,SRR6836017,GSM3041064,SRR6836020,,,,,,adult,,tissue,Bone,Knee cartilage,,,,Illumina HiSeq 2500,SE,,,2,differentiation study,
GSE111850,SRR6836026,,GSM3041067,SRR6836023,GSM3041068,SRR6836024,GSM3041066,SRR6836022,GSM3041069,SRR6836025,,,,,,adult,,tissue,Bone,Knee cartilage,,,,Illumina HiSeq 2500,SE,,,3,differentiation study,
GSE111850,SRR6836031,,GSM3041072,SRR6836028,GSM3041073,SRR6836029,GSM3041071,SRR6836027,GSM3041074,SRR6836030,,,,,-0.441,fetal,,tissue,Bone,Knee cartilage,,,,Illumina HiSeq 2500,SE,,,1,differentiation study,
GSE111850,SRR6836036,,GSM3041077,SRR6836033,GSM3041078,SRR6836034,GSM3041076,SRR6836032,GSM3041079,SRR6836035,,,,,-0.441,fetal,,tissue,Bone,Knee cartilage,,,,Illumina HiSeq 2500,SE,,,2,differentiation study,
GSE111850,SRR6836041,,GSM3041082,SRR6836038,GSM3041083,SRR6836039,GSM3041081,SRR6836037,GSM3041084,SRR6836040,,,,,-0.441,fetal,,tissue,Bone,Knee cartilage,,,,Illumina HiSeq 2500,SE,,,3,differentiation study,
GSE111850,SRR6836046,,GSM3041087,SRR6836043,GSM3041088,SRR6836044,GSM3041086,SRR6836042,GSM3041089,SRR6836045,,,,,,,,cell line,Pluripotent stem cell,hESC derived chondrocytes,,,,Illumina HiSeq 2500,SE,,,1,differentiation study,14 days post differentiation
GSE111850,SRR6836051,,GSM3041092,SRR6836048,GSM3041093,SRR6836049,GSM3041091,SRR6836047,GSM3041094,SRR6836050,,,,,,,,cell line,Pluripotent stem cell,hESC derived chondrocytes,,,,Illumina HiSeq 2500,SE,,,2,differentiation study,14 days post differentiation
GSE111850,SRR6836056,,GSM3041097,SRR6836053,GSM3041098,SRR6836054,GSM3041096,SRR6836052,GSM3041099,SRR6836055,,,,,,,,cell line,Pluripotent stem cell,hESC derived chondrocytes,,,,Illumina HiSeq 2500,SE,,,3,differentiation study,14 days post differentiation
GSE111850,SRR6836061,,GSM3041102,SRR6836058,GSM3041103,SRR6836059,GSM3041101,SRR6836057,GSM3041104,SRR6836060,,,,,,,,cell line,Pluripotent stem cell,hESC derived chondrocytes,,,,Illumina HiSeq 2500,SE,,,1,differentiation study,60 days post differentiation
GSE111850,SRR6836066,,GSM3041107,SRR6836063,GSM3041108,SRR6836064,GSM3041106,SRR6836062,GSM3041109,SRR6836065,,,,,,,,cell line,Pluripotent stem cell,hESC derived chondrocytes,,,,Illumina HiSeq 2500,SE,,,2,differentiation study,60 days post differentiation
GSE111850,SRR6836071,,GSM3041112,SRR6836068,GSM3041113,SRR6836069,GSM3041111,SRR6836067,GSM3041114,SRR6836070,,,,,,,,cell line,Pluripotent stem cell,hESC derived chondrocytes,,,,Illumina HiSeq 2500,SE,,,3,differentiation study,60 days post differentiation
GSE112221,"SRR6880507	; SRR6880508",,GSM3061129,SRR6880497,GSM3061124,SRR6880492,GSM3061119,SRR6880487,,,,,,,,,,tissue,Liver,Liver,No,normal,,Illumina HiSeq 2500,PE,,,,cirrhosis and cancer study,
GSE112221,"SRR6880509	; SRR6880510",,GSM3061130,SRR6880498,GSM3061125,SRR6880493,GSM3061120,SRR6880488,,,,,,,,,,tissue,Liver,Liver,No,Cirrhosis,,Illumina HiSeq 2500,PE,,,,cirrhosis and cancer study,
GSE112221,SRR6880512; SRR6880511,,GSM3061131,SRR6880499,GSM3061126,SRR6880494,GSM3061121,SRR6880489,,,,,,,,,,tissue,Liver,Liver,Yes,cancer,,Illumina HiSeq 2500,PE,,,,cirrhosis and cancer study,
GSE112221,SRR6880513; SRR6880514,,GSM3061132,SRR6880500,GSM3061127,SRR6880495,GSM3061122,SRR6880490,,,,,,,,,,tissue,Liver,Liver,No,Cirrhosis,,Illumina HiSeq 2500,PE,,,,cirrhosis and cancer study,
GSE112221,SRR6880515; SRR6880516,,GSM3061133,SRR6880501,GSM3061128,SRR6880496,GSM3061123,SRR6880491,,,,,,,,,,tissue,Liver,Liver,Yes,cancer,,Illumina HiSeq 2500,PE,,,,cirrhosis and cancer study,
GSE113702,SRR7067826,,,,GSM3112317,SRR7067824,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_06h,Illumina HiSeq 4000,SE,,,,Flu infection study,
GSE113702,SRR7067826,,,,GSM3112318,SRR7067825,,,,,,,,,,,,cell line,Lung,Tracheobronchial epithelial cells,,,H1N1_06h,Illumina HiSeq 4000,SE,,,,Flu infection study,
